CustomerID,Recency_Score,Frequency_Score,Monetary_Score,log_Recency,log_Frequency,log_Monetary,Clusters,Cluster Labels
12346.0,1,1,5,5.7899601708972535,0.6931471805599453,11.253955234248428,0,Loyal Customers
12347.0,5,5,5,1.0986122886681096,5.209486152841421,8.368925174747135,1,Champions
12348.0,2,3,4,4.330733340286331,3.4657359027997265,7.494563687769957,0,Loyal Customers
12349.0,4,4,4,2.995732273553991,4.304065093204169,7.472244884833674,1,Champions
12350.0,1,2,2,5.739792912179234,2.8903717578961645,5.815323849389109,2,At Risk Customers
12352.0,3,4,5,3.6109179126442243,4.454347296253507,7.826858053356098,1,Champions
12353.0,1,1,1,5.3230099791384085,1.6094379124341003,4.499809670330265,2,At Risk Customers
12354.0,1,4,4,5.4510384535657,4.07753744390572,6.985086621918461,0,Loyal Customers
12355.0,1,1,2,5.3706380281276624,2.639057329615259,6.132095676847728,2,At Risk Customers
12356.0,4,4,5,3.1780538303479458,4.0943445622221,7.941804157314053,1,Champions
12357.0,4,5,5,3.5263605246161616,4.882801922586371,8.733701981297274,1,Champions
12358.0,5,2,4,1.0986122886681096,2.995732273553991,7.063955286074528,3,New Customers
12359.0,3,5,5,4.07753744390572,5.5053315359323625,8.750054175177759,1,Champions
12360.0,3,5,5,3.970291913552122,4.867534450455582,7.887231116540211,1,Champions
12361.0,1,1,1,5.662960480135946,2.3978952727983707,5.251749730731702,2,At Risk Customers
12362.0,5,5,5,1.3862943611198906,5.58724865840025,8.56163678004062,1,Champions
12363.0,2,2,3,4.709530201312334,3.1780538303479458,6.315358001522335,0,Loyal Customers
12364.0,5,4,4,2.1972245773362196,4.454347296253507,7.180907299649593,1,Champions
12365.0,1,2,3,5.676753802268282,3.1354942159291497,6.465180028897591,0,Loyal Customers
12367.0,5,1,1,1.6094379124341003,2.4849066497880004,5.135210028677887,3,New Customers
12370.0,3,5,5,3.9512437185814275,5.117993812416755,8.172712169921061,1,Champions
12371.0,3,4,4,3.828641396489095,4.1588830833596715,7.543781692052325,1,Champions
12372.0,3,3,4,4.290459441148391,3.970291913552122,7.169380809114136,0,Loyal Customers
12373.0,1,1,2,5.7430031878094825,2.70805020110221,5.901539839579995,2,At Risk Customers
12374.0,4,3,3,3.258096538021482,3.5263605246161616,6.6119469443852195,3,New Customers
12375.0,5,2,2,2.4849066497880004,2.8903717578961645,6.127960291696519,3,New Customers
12377.0,1,4,4,5.755742213586912,4.356708826689592,7.395795270713971,0,Loyal Customers
12378.0,2,5,5,4.875197323201151,5.393627546352361,8.29645175271804,1,Champions
12379.0,2,3,3,4.418840607796598,3.713572066704308,6.749040867823617,0,Loyal Customers
12380.0,4,4,5,3.1354942159291497,4.653960350157523,7.910520910634419,1,Champions
12381.0,5,4,4,1.791759469228055,4.477336814478207,7.520944331624911,1,Champions
12383.0,1,4,4,5.225746673713202,4.605170185988092,7.523783805985769,0,Loyal Customers
12384.0,4,2,3,3.4011973816621555,3.332204510175204,6.373780434317173,3,New Customers
12386.0,1,1,2,5.82600010738045,2.3978952727983707,5.998688392197302,2,At Risk Customers
12388.0,4,4,5,2.833213344056216,4.61512051684126,7.930803150780257,1,Champions
12390.0,2,3,3,4.394449154672439,3.4965075614664802,6.311444385858925,0,Loyal Customers
12391.0,4,4,2,3.1354942159291497,4.543294782270004,6.0882736030360425,3,New Customers
12393.0,3,4,4,4.290459441148391,4.174387269895637,7.3674560152319755,1,Champions
12394.0,3,2,4,4.174387269895637,3.332204510175204,7.149508589545504,0,Loyal Customers
12395.0,4,5,5,2.995732273553991,5.056245805348308,8.012889586306857,1,Champions
12397.0,3,5,5,3.6109179126442243,4.844187086458591,7.7877554007552545,1,Champions
12398.0,3,4,4,3.8501476017100584,4.454347296253507,7.4004128587924045,1,Champions
12399.0,2,4,4,4.787491742782046,4.0943445622221,7.011799929268738,0,Loyal Customers
12401.0,1,1,1,5.717027701406222,1.791759469228055,4.446174454497633,2,At Risk Customers
12402.0,1,1,1,5.780743515792329,2.4849066497880004,5.423186348593906,2,At Risk Customers
12403.0,3,1,2,3.9318256327243257,1.791759469228055,6.0607573736039315,3,New Customers
12405.0,2,3,4,5.0106352940962555,4.007333185232471,7.445061184797548,0,Loyal Customers
12406.0,4,4,5,3.1354942159291497,4.663439094112067,8.136313373066384,1,Champions
12407.0,3,4,4,3.9318256327243257,4.356708826689592,7.4437338971514055,1,Champions
